Memory,Storage,Camera,Rating,Selling Price,Original Price,Discount,discount percentage
8 GB,128 GB,Yes,4.3,29990,35990,6000,16.67129758266185
6 GB,128 GB,Yes,4.1,15990,15990,0,0.0
3 GB,16 GB,Yes,4.1,20700,20700,0,0.0
4 GB,64 GB,Yes,4.3,14900,14900,0,0.0
4 GB,64 GB,Yes,4.4,25600,25600,0,0.0
4 GB,64 GB,Yes,4.4,11499,12999,1500,11.539349180706209
6 GB,1 TB,Yes,,169900,169900,0,0.0
1 GB,8 GB,Yes,4.0,7739,7739,0,0.0
4GB,128 GB,Yes,4.5,61999,64900,2901,4.469953775038521
1 GB,8 GB,Yes,4.2,6000,6000,0,0.0
6 GB,128 GB,Yes,4.3,29990,29990,0,0.0
8 GB,128 GB,Yes,4.3,19990,25990,6000,23.08580223162755
4 GB,64 GB,Yes,4.4,62500,62500,0,0.0
4 GB,64 GB,Yes,4.4,16490,16490,0,0.0
1 GB,16 GB,Yes,4.4,36990,36990,0,0.0
4 GB,64 GB,Yes,,13990,15990,2000,12.507817385866163
4 GB,32 GB,Yes,3.9,56999,56999,0,0.0
1 GB,16 GB,Yes,4.0,18499,18499,0,0.0
4 GB,64 GB,Yes,4.4,13990,13990,0,0.0
8 GB,256 GB,Yes,4.3,30999,36999,6000,16.21665450417579
1 GB,4 GB,Yes,4.1,15410,15410,0,0.0
2 GB,32 GB,Yes,4.2,25990,25990,0,0.0
4 GB,64 GB,Yes,3.9,10910,10910,0,0.0
4 GB,64 GB,Yes,4.4,10499,10999,500,4.545867806164196
4GB,128 GB,Yes,4.6,68999,70900,1901,2.681241184767278
4 GB,64 GB,Yes,4.3,14990,14990,0,0.0
1 GB,8 GB,Yes,3.6,4890,4890,0,0.0
6 GB,128 GB,Yes,4.3,17999,19999,2000,10.000500025001251
3 GB,32 GB,Yes,4.2,9999,9999,0,0.0
3 GB,16 GB,Yes,4.0,12490,12490,0,0.0
2 GB,32 GB,Yes,4.5,24999,31500,6501,20.63809523809524
4GB,256 GB,Yes,4.6,64900,64900,0,0.0
4 GB,64 GB,Yes,4.3,10999,10999,0,0.0
3 GB,32 GB,Yes,4.3,17999,17999,0,0.0
3 GB,128 GB,Yes,4.6,47999,52900,4901,9.264650283553877
4GB,256 GB,Yes,4.6,64900,64900,0,0.0
4 GB,64 GB,Yes,4.3,18990,18990,0,0.0
6 GB,64 GB,Yes,4.3,14999,17999,3000,16.667592644035782
4 GB,64 GB,Yes,4.4,9999,10999,1000,9.091735612328392
3 GB,32 GB,Yes,4.3,8990,8990,0,0.0
6 GB,256 GB,Yes,4.6,119900,119900,0,0.0
4GB,128 GB,Yes,4.5,61999,64900,2901,4.469953775038521
6 GB,64 GB,Yes,4.5,70000,70000,0,0.0
